TEST_PARAM.comment:,18650

SourceMeter Model:,2450
SourceMeter S/N:,00000000
SourceMeter Firmware:,1.7.1e

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,4.1914849281
TEST_PARAM.vcutoff:,3

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,1
TEST_PARAM.max_discharge_current:,1

TEST_PARAM.measure_interval:,10

TEST_PARAM.discharge_start_time:,07/03/20 14:51:05
TEST_PARAM.discharge_stop_time:,07/03/20 16:59:55

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,202,2010.1727126,3.8450679779,3.6519050598,0.19316291809
BATT_MODEL_RAW:,203,2020.1730308,3.8437461853,3.6501731873,0.19357299805
BATT_MODEL_RAW:,204,2030.1737532,3.8423671722,3.6487464905,0.19362068176
BATT_MODEL_RAW:,205,2040.1743599,3.8410243988,3.6472892761,0.19373512268
BATT_MODEL_RAW:,206,2050.1754274,3.8397045135,3.6460990906,0.19360542297
BATT_MODEL_RAW:,207,2060.1765273,3.8383350372,3.6449623108,0.19337272644
BATT_MODEL_RAW:,208,2070.177267,3.8370075226,3.6439323425,0.19307518005
BATT_MODEL_RAW:,209,2080.1775112,3.8357505798,3.6429176331,0.19283294678
BATT_MODEL_RAW:,210,2090.1786653,3.8343429565,3.6415977478,0.19274520874
BATT_MODEL_RAW:,211,2100.1793953,3.833026886,3.6402549744,0.19277191162
BATT_MODEL_RAW:,212,2110.1795814,3.8316726685,3.6389808655,0.19269180298
BATT_MODEL_RAW:,213,2120.1806414,3.8303585052,3.6377182007,0.19264030457
BATT_MODEL_RAW:,214,2130.1808918,3.829044342,3.6364135742,0.19263076782
BATT_MODEL_RAW:,215,2140.1812198,3.8277854919,3.6352806091,0.19250488281
BATT_MODEL_RAW:,216,2150.1822597,3.826379776,3.6338500977,0.19252967834
BATT_MODEL_RAW:,217,2160.1830443,3.8250637054,3.6324691772,0.1925945282
BATT_MODEL_RAW:,218,2170.1840139,3.8238296509,3.63048172,0.19334793091
BATT_MODEL_RAW:,219,2180.1849618,3.8224258423,3.6291236877,0.19330215454
BATT_MODEL_RAW:,220,2190.1855226,3.8211078644,3.627658844,0.19344902039
BATT_MODEL_RAW:,221,2200.1862445,3.8197898865,3.6265525818,0.19323730469
BATT_MODEL_RAW:,222,2210.1871201,3.818572998,3.6254882813,0.1930847168
BATT_MODEL_RAW:,223,2220.187443,3.8172054291,3.6239738464,0.19323158264
BATT_MODEL_RAW:,224,2230.1877131,3.8159790039,3.6225471497,0.19343185425
BATT_MODEL_RAW:,225,2240.1886459,3.8145847321,3.6215705872,0.1930141449
BATT_MODEL_RAW:,226,2250.1894314,3.8133068085,3.6203193665,0.19298744202
BATT_MODEL_RAW:,227,2260.1900631,3.8119792938,3.6190795898,0.19289970398
BATT_MODEL_RAW:,228,2270.1904116,3.8107185364,3.617565155,0.19315338135
BATT_MODEL_RAW:,229,2280.1909642,3.8094062805,3.6160011292,0.19340515137
BATT_MODEL_RAW:,230,2290.1913139,3.8081302643,3.6147155762,0.19341468811
BATT_MODEL_RAW:,231,2300.192407,3.8068523407,3.6133041382,0.19354820251
BATT_MODEL_RAW:,232,2310.1934624,3.805562973,3.6120948792,0.19346809387
BATT_MODEL_RAW:,233,2320.1944183,3.8042888641,3.6109542847,0.19333457947
BATT_MODEL_RAW:,234,2330.1946055,3.8030490875,3.6099472046,0.19310188293
BATT_MODEL_RAW:,235,2340.195518,3.8017196655,3.608379364,0.19334030151
BATT_MODEL_RAW:,236,2350.1963123,3.8005313873,3.6069717407,0.19355964661
BATT_MODEL_RAW:,237,2360.1969718,3.7991752625,3.6053886414,0.19378662109
BATT_MODEL_RAW:,238,2370.1974348,3.797908783,3.6037559509,0.19415283203
BATT_MODEL_RAW:,239,2380.1975907,3.7966480255,3.6023216248,0.19432640076
BATT_MODEL_RAW:,240,2390.1977553,3.7953853607,3.6006736755,0.19471168518
BATT_MODEL_RAW:,241,2400.1983065,3.7941417694,3.5993118286,0.1948299408
BATT_MODEL_RAW:,242,2410.1993375,3.7929363251,3.5981445313,0.19479179382
BATT_MODEL_RAW:,243,2420.2003928,3.7916069031,3.5969390869,0.19466781616
BATT_MODEL_RAW:,244,2430.201436,3.790353775,3.595703125,0.19465065002
BATT_MODEL_RAW:,245,2440.2016925,3.7891044617,3.5944252014,0.19467926025
BATT_MODEL_RAW:,246,2450.2025763,3.7878570557,3.5930786133,0.19477844238
BATT_MODEL_RAW:,247,2460.2030338,3.7866973877,3.5919532776,0.19474411011
BATT_MODEL_RAW:,248,2470.2035422,3.7853775024,3.5906791687,0.19469833374
BATT_MODEL_RAW:,249,2480.2038442,3.7841396332,3.5892486572,0.19489097595
BATT_MODEL_RAW:,250,2490.2042964,3.7828998566,3.5881881714,0.19471168518
BATT_MODEL_RAW:,251,2500.2050429,3.7817497253,3.5874557495,0.19429397583
BATT_MODEL_RAW:,252,2510.2055379,3.7804489136,3.5866088867,0.19384002686
BATT_MODEL_RAW:,253,2520.2060592,3.7792129517,3.5857658386,0.19344711304
